id,data_coleta,horario_coleta,supermercado,marca,nome_produto,embalagem,cidade,uf,regiao,preco_atual,preco_original,em_promocao,disponivel,url,erro
1,2026-03-22,13:01:31,Carrefour Mercado,Heineken,Heineken Lata,350ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-heineken-lata-sleek-350ml-3180018/p,preco_nao_encontrado
2,2026-03-22,13:01:39,Carrefour Mercado,Heineken,Heineken Lata,269ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-heineken-lata-269ml/p,preco_nao_encontrado
3,2026-03-22,13:01:45,Carrefour Mercado,Heineken,Heineken Long Neck,355ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-heineken-long-neck-355ml/p,preco_nao_encontrado
4,2026-03-22,13:01:53,Carrefour Mercado,Heineken,Heineken Garrafa,600ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-heineken-garrafa-600ml/p,preco_nao_encontrado
5,2026-03-22,13:01:59,Carrefour Mercado,Heineken,Heineken 0.0,350ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-lager-zero-alcool-heineken-lata-350ml-3180026/p,preco_nao_encontrado
6,2026-03-22,13:02:06,Carrefour Mercado,Heineken,Heineken Silver,350ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-heineken-silver-lata-350ml/p,preco_nao_encontrado
7,2026-03-22,13:02:14,Carrefour Mercado,Skol,Skol Lata,350ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-skol-lata-350ml/p,preco_nao_encontrado
8,2026-03-22,13:02:21,Carrefour Mercado,Brahma,Brahma Chopp Lata,350ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-brahma-chopp-lata-350ml/p,preco_nao_encontrado
9,2026-03-22,13:02:29,Carrefour Mercado,Brahma,Brahma Duplo Malte,350ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-brahma-duplo-malte-lata-350ml/p,preco_nao_encontrado
10,2026-03-22,13:02:35,Carrefour Mercado,Stella Artois,Stella Artois Lata,350ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-stella-artois-lata-350ml/p,preco_nao_encontrado
11,2026-03-22,13:02:42,Carrefour Mercado,Stella Artois,Stella Artois Long Neck,355ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-stella-artois-long-neck-355ml/p,preco_nao_encontrado
12,2026-03-22,13:02:49,Carrefour Mercado,Corona,Corona Extra Long Neck,355ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-corona-extra-long-neck-355ml/p,preco_nao_encontrado
13,2026-03-22,13:02:56,Carrefour Mercado,Budweiser,Budweiser Lata,350ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-budweiser-lata-350ml/p,preco_nao_encontrado
14,2026-03-22,13:03:03,Carrefour Mercado,Amstel,Amstel Lata,350ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-amstel-lata-350ml/p,preco_nao_encontrado
15,2026-03-22,13:03:10,Carrefour Mercado,Amstel,Amstel Ultra,350ml,São Paulo,SP,Sudeste,,,0,0,https://mercado.carrefour.com.br/cerveja-amstel-ultra-lata-350ml/p,preco_nao_encontrado
